StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:44:14.006,00:44:14.006,annotation-start,,,annotation-start,Pen Event
00:44:15.703,00:44:15.703,annotation-end,,,annotation-end,Pen Event
00:45:34.055,00:45:34.055,erase-button,,,erase-button,Pen Event
00:52:05.594,00:52:05.594,state-change,,pointer,state-change,Pen Event
01:00:37.698,01:00:37.698,select,,,select,Pen Event
01:00:41.045,01:00:41.045,state-change,,pen,state-change,Pen Event
01:00:52.929,01:00:52.929,state-change,,pointer,state-change,Pen Event
01:00:56.885,01:00:56.885,select,,,select,Pen Event
01:01:04.834,01:01:04.834,select,,,select,Pen Event
01:01:06.264,01:01:06.264,state-change,,pen,state-change,Pen Event
01:01:15.525,01:01:15.525,annotation-start,,,annotation-start,Pen Event
01:01:17.360,01:01:17.360,annotation-end,,,annotation-end,Pen Event
01:01:34.339,01:01:34.339,erase-button,,,erase-button,Pen Event
01:01:46.847,01:01:46.847,state-change,,pointer,state-change,Pen Event
01:01:51.442,01:01:51.442,select,,,select,Pen Event
01:01:58.306,01:01:58.306,select,,,select,Pen Event
01:02:00.801,01:02:00.801,state-change,,pen,state-change,Pen Event
01:02:32.502,01:02:32.502,annotation-start,,,annotation-start,Pen Event
01:02:35.942,01:02:35.942,annotation-end,,,annotation-end,Pen Event
01:02:43.855,01:02:43.855,annotation-start,,,annotation-start,Pen Event
01:02:44.823,01:02:44.823,annotation-end,,,annotation-end,Pen Event
01:02:45.191,01:02:45.191,annotation-start,,,annotation-start,Pen Event
01:02:46.018,01:02:46.018,annotation-end,,,annotation-end,Pen Event
01:03:24.738,01:03:24.738,erase-button,,,erase-button,Pen Event
01:03:45.889,01:03:45.889,state-change,,pointer,state-change,Pen Event
01:04:50.468,01:04:50.468,state-change,,pen,state-change,Pen Event
01:04:53.985,01:04:53.985,annotation-start,,,annotation-start,Pen Event
01:04:57.463,01:04:57.463,annotation-end,,,annotation-end,Pen Event
01:05:03.843,01:05:03.843,erase-button,,,erase-button,Pen Event
01:05:19.230,01:05:19.230,annotation-resize,,,annotation-resize,Pen Event
01:05:19.657,01:05:19.657,annotation-resize,,,annotation-resize,Pen Event
01:05:42.628,01:05:42.628,state-change,,pointer,state-change,Pen Event
01:05:43.326,01:05:43.326,state-change,,pen,state-change,Pen Event
01:05:47.179,01:05:47.179,annotation-start,,,annotation-start,Pen Event
01:05:49.200,01:05:49.200,annotation-end,,,annotation-end,Pen Event
01:05:54.774,01:05:54.774,annotation-start,,,annotation-start,Pen Event
01:05:55.863,01:05:55.863,annotation-end,,,annotation-end,Pen Event
01:06:05.018,01:06:05.018,erase-button,,,erase-button,Pen Event
01:06:06.017,01:06:06.017,annotation-resize,,,annotation-resize,Pen Event
01:06:47.930,01:06:47.930,state-change,,pointer,state-change,Pen Event
01:06:54.157,01:06:54.157,select,,,select,Pen Event
01:06:56.441,01:06:56.441,select,,,select,Pen Event
01:08:08.897,01:08:08.897,state-change,,pen,state-change,Pen Event
01:11:09.747,01:11:09.747,state-change,,pointer,state-change,Pen Event
01:11:12.562,01:11:12.562,select,,,select,Pen Event
01:11:29.906,01:11:29.906,select,,,select,Pen Event
01:11:34.574,01:11:34.574,select,,,select,Pen Event
01:13:44.151,01:13:44.151,state-change,,pen,state-change,Pen Event
01:13:45.504,01:13:45.504,state-change,,pointer,state-change,Pen Event
01:13:47.067,01:13:47.067,select,,,select,Pen Event
01:14:21.930,01:14:21.930,state-change,,pen,state-change,Pen Event
