Title,Description,Start(HMS),Start(sec),End(HMS),End(sec),Duration(sec),PrimaryTag,Tags
28,-0.06394695;-0.3059337,0.6903898,00:05:26.507,326.507,00:05:26.507,326.507,0,,
28,-0.06140929;-0.3021939,0.6899289,00:05:26.507,326.507,00:05:26.507,326.507,0,,
28,-0.06387402;-0.3051727,0.6902077,00:05:26.551,326.551,00:05:26.551,326.551,0,,
28,-0.06079639;-0.3016475,0.6898183,00:05:26.552,326.552,00:05:26.552,326.552,0,,
28,-0.06093665;-0.3014652,0.6898162,00:05:26.594,326.594,00:05:26.594,326.594,0,,
28,-0.06357477;-0.3051369,0.6900654,00:05:26.594,326.594,00:05:26.594,326.594,0,,
28,-0.06355093;-0.3051111,0.6900663,00:05:26.635,326.635,00:05:26.635,326.635,0,,
28,-0.06360245;-0.3048759,0.6901498,00:05:26.635,326.635,00:05:26.635,326.635,0,,
28,-0.06340853;-0.3052541,0.6901815,00:05:26.690,326.69,00:05:26.690,326.69,0,,
28,-0.06355904;-0.305109,0.6904922,00:05:26.690,326.69,00:05:26.690,326.69,0,,
28,-0.0636341;-0.3053256,0.690538,00:05:26.720,326.72,00:05:26.720,326.72,0,,
28,-0.06356955;-0.3058482,0.6906321,00:05:26.720,326.72,00:05:26.720,326.72,0,,
28,-0.06150101;-0.302843,0.6902251,00:05:26.763,326.763,00:05:26.763,326.763,0,,
28,-0.06352086;-0.3064978,0.6904411,00:05:26.763,326.763,00:05:26.763,326.763,0,,
28,-0.06364264;-0.306623,0.6905375,00:05:26.809,326.809,00:05:26.809,326.809,0,,
28,-0.06396767;-0.3074352,0.6905488,00:05:26.809,326.809,00:05:26.809,326.809,0,,
28,-0.06067752;-0.3044372,0.6897635,00:05:26.860,326.86,00:05:26.860,326.86,0,,
28,-0.06442377;-0.3089653,0.6899977,00:05:26.860,326.86,00:05:26.860,326.86,0,,
28,-0.06217586;-0.3061141,0.6895198,00:05:26.902,326.902,00:05:26.902,326.902,0,,
28,-0.0650373;-0.310324,0.6896704,00:05:26.902,326.902,00:05:26.902,326.902,0,,
28,-0.06539048;-0.3112873,0.6894785,00:05:27.042,327.042,00:05:27.042,327.042,0,,
28,-0.06612191;-0.3124869,0.689447,00:05:27.042,327.042,00:05:27.042,327.042,0,,
28,-0.06710252;-0.3134515,0.6894396,00:05:27.042,327.042,00:05:27.042,327.042,0,,
28,-0.06746267;-0.3135697,0.6891928,00:05:27.042,327.042,00:05:27.042,327.042,0,,
28,-0.06514204;-0.3106796,0.6886201,00:05:27.042,327.042,00:05:27.042,327.042,0,,
28,-0.06713046;-0.3117837,0.6887518,00:05:27.042,327.042,00:05:27.042,327.042,0,,
28,-0.06989031;-0.3151969,0.6885591,00:05:27.086,327.086,00:05:27.086,327.086,0,,
28,-0.07076968;-0.3155432,0.6882,00:05:27.086,327.086,00:05:27.086,327.086,0,,
28,-0.07140831;-0.3155205,0.6880677,00:05:27.130,327.13,00:05:27.130,327.13,0,,
28,-0.07141668;-0.3158423,0.6877933,00:05:27.130,327.13,00:05:27.130,327.13,0,,
28,-0.07144082;-0.315668,0.6878234,00:05:27.170,327.17,00:05:27.170,327.17,0,,
28,-0.06950838;-0.3123382,0.6875717,00:05:27.170,327.17,00:05:27.170,327.17,0,,
28,-0.07152929;-0.3154691,0.6878949,00:05:27.220,327.22,00:05:27.220,327.22,0,,
28,-0.07153416;-0.3154762,0.6878847,00:05:27.220,327.22,00:05:27.220,327.22,0,,
28,-0.06908078;-0.312126,0.6876572,00:05:27.291,327.291,00:05:27.291,327.291,0,,
28,-0.07156238;-0.3156364,0.687972,00:05:27.292,327.292,00:05:27.292,327.292,0,,
28,-0.07160545;-0.315299,0.6879702,00:05:27.309,327.309,00:05:27.309,327.309,0,,
28,-0.06853493;-0.3116043,0.6873742,00:05:27.309,327.309,00:05:27.309,327.309,0,,
28,-0.0713506;-0.3149706,0.6875367,00:05:27.350,327.35,00:05:27.350,327.35,0,,
28,-0.07139492;-0.3149147,0.6875633,00:05:27.350,327.35,00:05:27.350,327.35,0,,
28,-0.07153176;-0.3146405,0.6874708,00:05:27.392,327.392,00:05:27.392,327.392,0,,
28,-0.07181728;-0.3141267,0.6875105,00:05:27.393,327.393,00:05:27.393,327.393,0,,
28,-0.07177784;-0.3142827,0.6874592,00:05:27.434,327.434,00:05:27.434,327.434,0,,
28,-0.06950434;-0.3099402,0.6871208,00:05:27.435,327.435,00:05:27.435,327.435,0,,
28,-0.07326691;-0.3126391,0.6876935,00:05:27.541,327.541,00:05:27.541,327.541,0,,
28,-0.07360326;-0.3126525,0.6877654,00:05:27.541,327.541,00:05:27.541,327.541,0,,
28,-0.07400306;-0.3121307,0.6880665,00:05:27.541,327.541,00:05:27.541,327.541,0,,
28,-0.07475736;-0.3118489,0.6884071,00:05:27.541,327.541,00:05:27.541,327.541,0,,
28,-0.07533038;-0.3114761,0.6885079,00:05:27.611,327.611,00:05:27.611,327.611,0,,
28,-0.07612273;-0.3105812,0.688678,00:05:27.611,327.611,00:05:27.611,327.611,0,,
28,-0.07670367;-0.3102528,0.6886251,00:05:27.611,327.611,00:05:27.611,327.611,0,,
28,-0.07713933;-0.3096091,0.6885381,00:05:27.611,327.611,00:05:27.611,327.611,0,,
28,-0.07807802;-0.3088525,0.6884688,00:05:27.650,327.65,00:05:27.650,327.65,0,,
28,-0.07871836;-0.3078219,0.6885254,00:05:27.650,327.65,00:05:27.650,327.65,0,,
28,-0.07967825;-0.3073496,0.6886876,00:05:27.695,327.695,00:05:27.695,327.695,0,,
28,-0.0805352;-0.3063437,0.6887939,00:05:27.695,327.695,00:05:27.695,327.695,0,,
28,-0.08082777;-0.3059054,0.6888044,00:05:27.736,327.736,00:05:27.736,327.736,0,,
28,-0.08147671;-0.3053887,0.6888903,00:05:27.736,327.736,00:05:27.736,327.736,0,,
28,-0.08203049;-0.3048468,0.6889663,00:05:27.782,327.782,00:05:27.782,327.782,0,,
28,-0.08221514;-0.304347,0.689187,00:05:27.782,327.782,00:05:27.782,327.782,0,,
28,-0.08233447;-0.3045565,0.6892074,00:05:27.876,327.876,00:05:27.876,327.876,0,,
28,-0.08250977;-0.3041511,0.6893921,00:05:27.876,327.876,00:05:27.876,327.876,0,,
