Timestamp;Annotation ID;Width;Color (r,g,b);Point Index;Position (x,y,z);Position` (x,y,z)
637326631453793972;35;0.001999997;0,187,255;133;-0.007730983,0.07231659,0.591208;-0.007730983,0.07231659,0.591208
637326631453798925;35;0.001999997;0,187,255;134;-0.008349895,0.07127929,0.5916106;-0.008349895,0.07127929,0.5916106
637326631454190766;35;0.001999997;0,187,255;135;-0.008988991,0.07057327,0.5922623;-0.008988991,0.07057327,0.5922623
637326631454195742;35;0.001999997;0,187,255;136;-0.009282112,0.07073647,0.5921855;-0.009282112,0.07073647,0.5921855
637326631454602463;35;0.001999997;0,187,255;137;-0.009584218,0.07027853,0.5928146;-0.009584218,0.07027853,0.5928146
637326631454602463;35;0.001999997;0,187,255;138;-0.009789221,0.07009798,0.5931872;-0.009789221,0.07009798,0.5931872
637326631455004212;35;0.001999997;0,187,255;139;-0.009562746,0.07004917,0.5934446;-0.009562746,0.07004917,0.5934446
637326631455425809;35;0.001999997;0,187,255;140;-0.009545878,0.06933767,0.5941695;-0.009545878,0.06933767,0.5941695
637326631455425809;35;0.001999997;0,187,255;141;-0.009392299,0.06849116,0.5943373;-0.009392299,0.06849116,0.5943373
637326631455837490;35;0.001999997;0,187,255;142;-0.008795336,0.06867504,0.5937332;-0.008795336,0.06867504,0.5937332
637326631455842448;35;0.001999997;0,187,255;143;-0.008616649,0.06899655,0.5934345;-0.008616649,0.06899655,0.5934345
637326631456239269;35;0.001999997;0,187,255;144;-0.007514946,0.06868857,0.5925843;-0.007514946,0.06868857,0.5925843
637326631456239269;35;0.001999997;0,187,255;145;-0.006869107,0.06916308,0.5914993;-0.006869107,0.06916308,0.5914993
637326631456645969;35;0.001999997;0,187,255;146;-0.006185375,0.06829959,0.5909632;-0.006185375,0.06829959,0.5909632
637326631456645969;35;0.001999997;0,187,255;147;-0.005212657,0.06846678,0.5894108;-0.005212657,0.06846678,0.5894108
637326631457062620;35;0.001999997;0,187,255;148;-0.004802324,0.0682686,0.5885373;-0.004802324,0.0682686,0.5885373
637326631548619402
637326632095485082;36;0.001999997;0,187,255;0;-0.07022666,0.05401725,0.6403075;-0.07022666,0.05401725,0.6403075
637326632095886832;36;0.001999997;0,187,255;1;-0.07001978,0.05396652,0.6401079;-0.07001978,0.05396652,0.6401079
637326632096298536;36;0.001999997;0,187,255;2;-0.07005406,0.05408669,0.6399949;-0.07005406,0.05408669,0.6399949
637326632096303475;36;0.001999997;0,187,255;3;-0.0696885,0.05402279,0.6398783;-0.0696885,0.05402279,0.6398783
637326632096715159;36;0.001999997;0,187,255;4;-0.06959468,0.05402553,0.6400478;-0.06959468,0.05402553,0.6400478
637326632096715159;36;0.001999997;0,187,255;5;-0.06903626,0.05396438,0.6398764;-0.06903626,0.05396438,0.6398764
637326632097111971;36;0.001999997;0,187,255;6;-0.06837258,0.05381918,0.6396652;-0.06837258,0.05381918,0.6396652
637326632097111971;36;0.001999997;0,187,255;7;-0.06818603,0.0537833,0.6395543;-0.06818603,0.0537833,0.6395543
637326632097533555;36;0.001999997;0,187,255;8;-0.06785605,0.05382913,0.6392201;-0.06785605,0.05382913,0.6392201
637326632097533555;36;0.001999997;0,187,255;9;-0.06738942,0.05369216,0.6391702;-0.06738942,0.05369216,0.6391702
637326632097965082;36;0.001999997;0,187,255;10;-0.06703889,0.0535031,0.6390263;-0.06703889,0.0535031,0.6390263
637326632097965082;36;0.001999997;0,187,255;11;-0.06683146,0.05355167,0.6394523;-0.06683146,0.05355167,0.6394523
637326632098381723;36;0.001999997;0,187,255;12;-0.06675667,0.05329138,0.6399047;-0.06675667,0.05329138,0.6399047
637326632098381723;36;0.001999997;0,187,255;13;-0.06670182,0.05311,0.6402277;-0.06670182,0.05311,0.6402277
637326632098798358;36;0.001999997;0,187,255;14;-0.06679527,0.0529294,0.6407323;-0.06679527,0.0529294,0.6407323
637326632099205079;36;0.001999997;0,187,255;15;-0.06715168,0.0528065,0.6411106;-0.06715168,0.0528065,0.6411106
637326632099205079;36;0.001999997;0,187,255;16;-0.06746589,0.05298442,0.6413858;-0.06746589,0.05298442,0.6413858
637326632099616763;36;0.001999997;0,187,255;17;-0.0678877,0.05316198,0.6414208;-0.0678877,0.05316198,0.6414208
637326632099616763;36;0.001999997;0,187,255;18;-0.06847638,0.05359763,0.6409894;-0.06847638,0.05359763,0.6409894
637326632100013559;36;0.001999997;0,187,255;19;-0.06890692,0.05392766,0.6406233;-0.06890692,0.05392766,0.6406233
637326632100013559;36;0.001999997;0,187,255;20;-0.06910744,0.05454046,0.6400239;-0.06910744,0.05454046,0.6400239
637326632100420283;36;0.001999997;0,187,255;21;-0.06889589,0.05466688,0.6391876;-0.06889589,0.05466688,0.6391876
637326632100420283;36;0.001999997;0,187,255;22;-0.06880511,0.0550068,0.6387888;-0.06880511,0.0550068,0.6387888
